年,男,女
2019年,370969,382421
2018年,371093,382823
2017年,391750,404235
2016年,405153,418020
2015年,418565,432556
2014年,430630,444244
2013年,447631,461987
2012年,455965,469716
2011年,454972,467828
2010年,484411,497645
2009年,489896,503357
2008年,508367,520955
2007年,506470,519734
2006年,520173,535682
2005年,515916,529391
2004年,527122,538892
2003年,551784,562825
2002年,573955,584455
2001年,610753,622295
2000年,614968,626764
1995年,635178,647004
1990年,581650,592262
1985年,601673,610389
1980年,634352,643514
1975年,769670,783246
1970年,799637,818316
1965年,669209,688957
1960年,533963,553583
1955年,393252,411062
1950年,298124,308431
1947年,426348,426965
2019年,85989,74537
2018年,85055,73325
2017年,88577,76092
2016年,91431,78564
2015年,94385,80394
2014年,94760,81146
2013年,97354,82998
2012年,97076,83325
2011年,95279,82423
2010年,99675,86441
2009年,102289,88828
2008年,105120,92532
2007年,104797,91533
2006年,107431,91922
2005年,102184,88709
2004年,100208,88438
2003年,99760,88719
2002年,97647,87147
2001年,99111,87569
2000年,93191,81395
1995年,81400,69574
1990年,71765,61153
1985年,65815,57099
1980年,60095,50933
1975年,59869,46293
1970年,55723,37044
1965年,51066,31318
1960年,45945,26325
1955年,44736,26926
1950年,47920,37613
1947年,58086,57469
2019年,,
2018年,,
2017年,,
2016年,,
2015年,,
2014年,,
2013年,,
2012年,,
2011年,,
2010年,,
2009年,,
2008年,,
2007年,,
2006年,,
2005年,,
2004年,,
2003年,,
2002年,,
2001年,,
2000年,,
1995年,,
1990年,,
1985年,,
1980年,,
1975年,,
1970年,,
1965年,,
1960年,,
1955年,,
1950年,,
1947年,,
2019年,,
2018年,,
2017年,,
2016年,,
2015年,,
2014年,,
2013年,,
2012年,,
2011年,,
2010年,,
2009年,,
2008年,,
2007年,,
2006年,,
2005年,,
2004年,,
2003年,,
2002年,,
2001年,,
2000年,,
1995年,,
1990年,,
1985年,,
1980年,,
1975年,,
1970年,,
1965年,,
1960年,,
1955年,,
1950年,,
1947年,,
